Pais;Over25_H;Over15_H;GolsSofridos_H;GolsMarcados_H;MediaGols_H;PPG_H;Home;Hora;Away;PPG_A;MediaGols_A;GolsMarcados_A;GolsSofridos_A;Over15_A;Over25_A;BTTS_H;Vitorias_H;BTTS_A;Vitorias_A
DEN;38;77;1.38;0.85;2.23;1;FC Midtjylland;14:00:00;Silkeborg;1;2.85;1.31;1.54;92;46;62;23;69;23
LIT;100;100;4;1;5;0;Zalgiris B;14:00:00;Jonava;0.33;2.67;0.67;2;100;67;100;0;67;0
ISR;62;81;0.94;1.94;2.88;1.94;H. Beer Sheva;14:30:00;Maccabi Haifa;1.81;2.56;1.38;1.19;75;50;56;56;50;56
ITA;79;93;1.36;2.29;3.64;1.79;Juventus U19;15:00:00;Roma U19;1.29;4.21;2.21;2;100;93;64;50;86;36
IRE;0;50;0.5;0.83;1.33;1.33;Derry City;15:15:00;Shamrock Rovers;2;2;1.67;0.33;83;17;17;33;33;50
IRE;33;67;1.17;0.83;2;0.83;Longford Town;15:30:00;Galway Utd;3;3.17;2.67;0.5;83;67;50;17;50;100
ITA;41;59;0.47;1.71;2.18;2.29;Frosinone;15:30:00;Reggina;1.35;2.29;1.18;1.12;65;41;18;71;53;41
IRE;60;100;1.6;1.2;2.8;1.4;Cobh Ramblers;15:45:00;Kerry;0;4;0.5;3.5;83;67;80;40;50;0
FRA;56;69;0.88;1.94;2.81;1.94;Sochaux;15:45:00;Dijon;0.47;2.33;0.8;1.53;73;60;56;56;60;7
IRE;33;83;1;1.17;2.17;1.17;Finn Harps;16:00:00;Athlone Town;1.2;3.2;1.4;1.8;60;60;67;17;40;40
BOL;20;80;0.8;1.4;2.2;1.8;Libertad;16:00:00;Guabira;0.33;2;0.33;1.67;67;33;60;40;33;0
SPA;44;61;0.83;1.17;2;1.61;Burgos;16:00:00;Villarreal B;0.89;2.11;0.72;1.39;67;39;50;39;44;22
SPA;53;87;1.27;1.33;2.6;1.47;Sevilla FC;16:00:00;Girona;0.73;2.73;1.13;1.6;73;53;60;40;67;13
BRA;0;0;0;1;1;3;Londrina;16:00:00;Criciuma;3;3;2;1;100;100;0;100;100;100
ENG;56;62;1.31;1.19;2.5;0.94;Leicester City;16:00:00;Everton;0.63;2.25;0.63;1.63;81;38;44;25;44;6
COL;38;50;0.75;1;1.75;1.63;Envigado;17:00:00;Atletico Huila;0.38;3;1;2;100;88;50;38;88;12
PAR;50;100;1.5;1.5;3;1.5;San Lorenzo;18:30:00;Atyra;0;1;0;1;0;0;50;50;0;0
PAR;71;86;2;1.14;3.14;0.86;S. Ameliano;19:00:00;S. Luqueno;0.86;3.57;1.57;2;86;71;71;14;86;14
JAM;50;58;0.67;1.67;2.33;1.83;Cavalier;19:00:00;Molynes Utd;1.08;2.75;1.42;1.33;83;67;33;58;75;25
COL;38;88;1;1.38;2.38;1.5;Jaguares de C.;19:15:00;Once Caldas;0.71;2;0.57;1.43;43;43;62;38;43;14
